CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_SUN,NOM_SUN,P_2015,P_2016,P_2017,P_2018,P_2019,P_2020,P_2021,P_2022,P_2023,P_2024,P_2025,P_2026,P_2027,P_2028,P_2029,P_2030
08,Chihuahua,08019,Chihuahua,M08.01,Chihuahua,884809,897159,911097,924455,937233,949395,960898,971693,981759,991042,999492,1007087,1013778,1019520,1024322,1028134
08,Chihuahua,08021,Delicias,M08.02,Delicias,148719,150881,153338,155725,158026,160245,162365,164382,166273,168034,169654,171120,172428,173562,174523,175289
08,Chihuahua,08045,Meoqui,M08.02,Delicias,45919,46305,46789,47274,47759,48242,48732,49219,49709,50200,50697,51191,51681,52183,52685,53189
08,Chihuahua,08032,Hidalgo del Parral,M08.03,Hidalgo del Parral,112656,113419,114462,115501,116555,117624,118713,119813,120934,122079,123248,124438,125662,126907,128189,129502
08,Chihuahua,08059,San Francisco del Oro,M08.03,Hidalgo del Parral,5122,5166,5235,5318,5405,5502,5607,5720,5841,5959,6085,6213,6336,6469,6596,6726
08,Chihuahua,08037,Juárez,M08.04,Juárez,1416075,1424918,1436019,1446305,1455923,1464930,1473439,1481649,1489507,1497273,1504896,1512547,1520308,1528310,1536503,1544972
09,Distrito Federal,09002,Azcapotzalco,M09.01,Valle de México,417668,415389,413357,411503,409860,408441,407280,406387,405781,405476,405496,405852,406560,407643,409114,410990
09,Distrito Federal,09003,Coyoacán,M09.01,Valle de México,632512,630049,627775,625634,623683,621952,620486,619313,618466,617977,617877,618204,619000,620283,622107,624508
09,Distrito Federal,09004,Cuajimalpa de Morelos,M09.01,Valle de México,194851,196329,197629,198647,199380,199809,199926,199718,199175,198271,197007,195352,193306,190837,187924,184549
09,Distrito Federal,09005,Gustavo A. Madero,M09.01,Valle de México,1198629,1193647,1189130,1184801,1180729,1176967,1173555,1170537,1167941,1165799,1164150,1163013,1162435,1162430,1163035,1164267
09,Distrito Federal,09006,Iztacalco,M09.01,Valle de México,397816,396794,395939,395153,394448,393821,393275,392817,392441,392143,391921,391773,391701,391689,391738,391837
09,Distrito Federal,09007,Iztapalapa,M09.01,Valle de México,1848954,1843315,1837496,1830835,1823468,1815551,1807133,1798303,1789185,1779836,1770358,1760841,1751304,1741900,1732690,1723707
09,Distrito Federal,09008,La Magdalena Contreras,M09.01,Valle de México,244785,245103,245355,245445,245375,245147,244769,244235,243550,242697,241684,240499,239155,237631,235926,234035
09,Distrito Federal,09009,Milpa Alta,M09.01,Valle de México,135272,136522,137603,138441,139035,139371,139441,139241,138753,137972,136879,135460,133713,131625,129167,126337
09,Distrito Federal,09010,-lvaro Obregón,M09.01,Valle de México,752185,753460,754581,755299,755620,755537,755046,754141,752800,751012,748751,746010,742756,738980,734645,729742
09,Distrito Federal,09011,Tláhuac,M09.01,Valle de México,366674,367372,367810,367814,367406,366586,365386,363807,361860,359556,356884,353866,350513,346803,342749,338328
09,Distrito Federal,09012,Tlalpan,M09.01,Valle de México,673919,676597,678903,680617,681728,682234,682121,681386,680001,677956,675223,671793,667634,662732,657058,650587
09,Distrito Federal,09013,Xochimilco,M09.01,Valle de México,421693,421545,421188,420471,419426,418060,416419,414507,412348,409956,407348,404538,401548,398387,395070,391615
09,Distrito Federal,09014,Benito Juárez,M09.01,Valle de México,414761,418868,422882,426729,430354,433708,436737,439388,441601,443333,444534,445147,445116,444401,442949,440722
09,Distrito Federal,09015,Cuauhtémoc,M09.01,Valle de México,543644,544605,545675,546713,547703,548606,549396,550027,550470,550708,550710,550440,549873,548985,547761,546185
09,Distrito Federal,09016,Miguel Hidalgo,M09.01,Valle de México,374779,375725,376741,377737,378708,379624,380465,381196,381807,382276,382573,382680,382578,382233,381643,380790
09,Distrito Federal,09017,Venustiano Carranza,M09.01,Valle de México,440592,438670,437022,435556,434290,433231,432392,431771,431379,431216,431279,431581,432126,432907,433941,435221
13,Hidalgo,13069,Tizayuca,M09.01,Valle de México,117477,121945,126186,130160,133825,137165,140150,142743,144916,146643,147884,148611,148790,148399,147389,145738
15,México,15002,Acolman,M09.01,Valle de México,160927,166634,172097,177223,181951,186256,190073,193360,196076,198168,199590,200306,200252,199404,197712,195128
15,México,15009,Amecameca,M09.01,Valle de México,52581,52962,53355,53747,54144,54548,54970,55411,55857,56336,56833,57355,57911,58498,59118,59775
15,México,15010,Apaxco,M09.01,Valle de México,29829,30198,30567,30917,31254,31576,31891,32187,32473,32741,32999,33247,33480,33701,33908,34100
15,México,15011,Atenco,M09.01,Valle de México,62696,64350,65932,67414,68776,70016,71122,72092,72905,73557,74037,74346,74456,74375,74082,73574
15,México,15013,Atizapán de Zaragoza,M09.01,Valle de México,538556,542273,545985,549657,553345,557108,560994,565045,569321,573872,578746,583988,589661,595807,602472,609710
15,México,15015,Atlautla,M09.01,Valle de México,30649,31071,31494,31898,32292,32674,33040,33398,33740,34063,34369,34660,34932,35182,35413,35626
15,México,15016,Axapusco,M09.01,Valle de México,27729,28224,28710,29175,29621,30040,30436,30806,31146,31460,31739,31986,32194,32366,32502,32591
15,México,15017,Ayapango,M09.01,Valle de México,9871,10141,10398,10639,10873,11081,11268,11437,11586,11707,11801,11868,11901,11907,11882,11822
15,México,15020,Coacalco de Berriozábal,M09.01,Valle de México,302874,304528,306113,307649,309175,310743,312389,314164,316101,318256,320670,323380,326434,329866,333737,338054
15,México,15022,Cocotitlán,M09.01,Valle de México,14242,14486,14729,14959,15180,15387,15587,15770,15941,16100,16248,16375,16490,16592,16669,16734
15,México,15023,Coyotepec,M09.01,Valle de México,42672,42997,43325,43631,43921,44201,44468,44733,44987,45242,45497,45757,46017,46292,46569,46867
15,México,15024,Cuautitlán,M09.01,Valle de México,156680,160866,164842,168534,171933,175004,177731,180098,182058,183610,184723,185368,185542,185203,184326,182901
15,México,15025,Chalco,M09.01,Valle de México,348034,358612,369017,379002,388478,397344,405488,412810,419220,424606,428875,431928,433669,433994,432825,430059
15,México,15028,Chiautla,M09.01,Valle de México,28996,29611,30206,30770,31304,31803,32263,32685,33062,33394,33677,33909,34090,34215,34276,34279
15,México,15029,Chicoloapan,M09.01,Valle de México,201206,207108,212715,217909,222653,226911,230653,233841,236437,238405,239714,240325,240207,239335,237669,235185
15,México,15030,Chiconcuac,M09.01,Valle de México,25240,25745,26237,26712,27156,27570,27952,28305,28619,28893,29128,29316,29463,29556,29596,29591
15,México,15031,Chimalhuacán,M09.01,Valle de México,677256,687195,696657,705316,713167,720207,726430,731834,736415,740168,743102,745199,746471,746907,746505,745251
15,México,15033,Ecatepec de Morelos,M09.01,Valle de México,1674599,1680113,1686124,1692644,1699737,1707754,1716891,1727349,1739424,1753331,1769261,1787424,1808045,1831415,1857640,1886944
15,México,15034,Ecatzingo,M09.01,Valle de México,9632,9728,9823,9917,10007,10090,10171,10246,10317,10381,10449,10506,10562,10614,10665,10708
15,México,15035,Huehuetoca,M09.01,Valle de México,124349,129583,134583,139243,143509,147326,150654,153440,155629,157182,158045,158170,157512,156025,153673,150410
15,México,15036,Hueypoxtla,M09.01,Valle de México,43737,44375,45003,45613,46191,46742,47272,47765,48230,48656,49047,49407,49722,50000,50234,50429
15,México,15037,Huixquilucan,M09.01,Valle de México,269923,274348,278634,282714,286581,290231,293667,296879,299869,302620,305133,307404,309425,311195,312698,313944
15,México,15038,Isidro Fabela,M09.01,Valle de México,11521,11739,11956,12154,12340,12512,12669,12809,12931,13036,13125,13192,13237,13263,13266,13248
15,México,15039,Ixtapaluca,M09.01,Valle de México,507825,518015,527561,536257,544086,551034,557092,562236,566446,569708,572008,573338,573686,573010,571297,568527
15,México,15044,Jaltenco,M09.01,Valle de México,29145,29110,29099,29100,29127,29179,29260,29372,29532,29728,29976,30277,30633,31048,31534,32093
15,México,15046,Jilotzingo,M09.01,Valle de México,19351,19649,19943,20216,20473,20713,20933,21139,21326,21496,21640,21772,21881,21974,22041,22088
15,México,15050,Juchitepec,M09.01,Valle de México,25468,25851,26226,26586,26924,27241,27540,27818,28073,28305,28513,28695,28852,28979,29080,29151
15,México,15053,Melchor Ocampo,M09.01,Valle de México,55287,56585,57842,59027,60139,61172,62105,62945,63679,64295,64795,65163,65396,65485,65425,65205
15,México,15057,Naucalpan de Juárez,M09.01,Valle de México,886461,889833,893877,898554,903960,910187,917312,925411,934557,944837,956299,969016,983051,998478,1015347,1033735
15,México,15058,Nezahualcóyotl,M09.01,Valle de México,1135026,1131848,1130193,1130172,1131976,1135786,1141770,1150103,1160931,1174417,1190690,1209908,1232206,1257705,1286540,1318836
15,México,15059,Nextlalpan,M09.01,Valle de México,38254,39476,40651,41738,42740,43640,44432,45104,45649,46057,46313,46415,46351,46118,45696,45094
15,México,15060,Nicolás Romero,M09.01,Valle de México,403346,411739,419829,427430,434523,441064,447017,452349,457011,460975,464203,466653,468298,469098,469013,468019
15,México,15061,Nopaltepec,M09.01,Valle de México,9321,9410,9502,9586,9668,9753,9832,9909,9989,10070,10152,10233,10319,10400,10493,10580
15,México,15065,Otumba,M09.01,Valle de México,36029,36485,36935,37367,37787,38186,38578,38947,39300,39637,39959,40260,40542,40810,41065,41299
15,México,15068,Ozumba,M09.01,Valle de México,29302,29694,30078,30446,30810,31154,31481,31796,32097,32382,32653,32905,33144,33362,33567,33743
15,México,15069,Papalotla,M09.01,Valle de México,4216,4250,4278,4311,4340,4367,4397,4427,4458,4488,4520,4558,4595,4638,4677,4723
15,México,15070,La Paz,M09.01,Valle de México,288308,293057,297638,301926,305912,309596,312970,316020,318738,321113,323141,324808,326110,327030,327554,327683
