CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_SUN,NOM_SUN,P_2015,P_2016,P_2017,P_2018,P_2019,P_2020,P_2021,P_2022,P_2023,P_2024,P_2025,P_2026,P_2027,P_2028,P_2029,P_2030
15,México,15075,San Martín de las Pirámides,M09.01,Valle de México,27036,27500,27943,28366,28771,29145,29497,29826,30125,30397,30639,30855,31035,31184,31298,31379
15,México,15081,Tecámac,M09.01,Valle de México,432214,447697,462513,476338,489070,500585,510768,519495,526623,532043,535635,537280,536866,534270,529394,522124
15,México,15083,Temamatla,M09.01,Valle de México,12698,12919,13132,13331,13519,13690,13843,13987,14107,14210,14300,14370,14418,14444,14451,14442
15,México,15084,Temascalapa,M09.01,Valle de México,39172,39723,40254,40757,41236,41685,42107,42499,42866,43204,43517,43806,44065,44295,44500,44678
15,México,15089,Tenango del Aire,M09.01,Valle de México,12169,12422,12672,12910,13134,13344,13540,13718,13879,14018,14142,14247,14327,14381,14411,14421
15,México,15091,Teoloyucan,M09.01,Valle de México,70219,70030,69854,69698,69562,69466,69423,69457,69573,69787,70114,70572,71168,71918,72837,73941
15,México,15092,Teotihuacán,M09.01,Valle de México,57377,58164,58927,59655,60341,60992,61609,62190,62727,63233,63701,64130,64520,64870,65184,65458
15,México,15093,Tepetlaoxtoc,M09.01,Valle de México,30825,31321,31805,32262,32699,33108,33490,33850,34180,34480,34751,34997,35208,35388,35535,35649
15,México,15094,Tepetlixpa,M09.01,Valle de México,20050,20272,20498,20711,20923,21137,21345,21542,21746,21946,22145,22338,22532,22722,22910,23099
15,México,15095,Tepotzotlán,M09.01,Valle de México,95292,97302,99237,101058,102761,104335,105766,107057,108187,109160,109957,110581,111011,111257,111298,111124
15,México,15096,Tequixquiac,M09.01,Valle de México,37112,37663,38197,38711,39200,39658,40100,40512,40896,41252,41574,41868,42132,42359,42549,42713
15,México,15099,Texcoco,M09.01,Valle de México,248887,251658,254375,256997,259545,262015,264421,266768,269067,271324,273543,275738,277918,280086,282261,284437
15,México,15100,Tezoyuca,M09.01,Valle de México,40710,42028,43285,44458,45541,46527,47398,48158,48790,49281,49618,49807,49829,49673,49342,48815
15,México,15103,Tlalmanalco,M09.01,Valle de México,49340,49735,50139,50545,50956,51370,51804,52256,52727,53223,53741,54287,54867,55476,56124,56804
15,México,15104,Tlalnepantla de Baz,M09.01,Valle de México,732600,736006,740031,744747,750224,756537,763728,771858,780982,791159,802424,814828,828427,843254,859359,876784
15,México,15108,Tultepec,M09.01,Valle de México,147347,150460,153432,156173,158680,160943,162956,164699,166172,167354,168233,168808,169057,168980,168564,167788
15,México,15109,Tultitlán,M09.01,Valle de México,535464,540131,544600,548776,552728,556493,560120,563656,567158,570667,574232,577914,581747,585782,590055,594603
15,México,15112,Villa del Carbón,M09.01,Valle de México,47601,48250,48893,49498,50075,50614,51111,51578,51999,52377,52717,53013,53266,53471,53632,53746
15,México,15120,Zumpango,M09.01,Valle de México,191955,197620,203060,208157,212874,217166,220996,224322,227087,229264,230809,231678,231831,231230,229842,227626
15,México,15121,Cuautitlán Izcalli,M09.01,Valle de México,554689,559301,563848,568308,572744,577190,581688,586273,590993,595901,601029,606424,612139,618205,624681,631589
15,México,15122,Valle de Chalco Solidaridad,M09.01,Valle de México,394527,399932,405268,410353,415167,419700,423921,427808,431347,434520,437313,439714,441708,443278,444424,445135
15,México,15125,Tonanitla,M09.01,Valle de México,10476,10599,10709,10801,10883,10960,11014,11060,11094,11111,11112,11104,11087,11057,11014,10952
10,Durango,10005,Durango,M10.01,Durango,653402,663425,672181,680436,688253,695597,702486,708905,714847,720294,725234,729674,733585,736957,739715,741917
11,Guanajuato,11007,Celaya,M11.01,Celaya,504923,510850,516207,521300,526166,530820,535265,539513,543570,547441,551132,554659,558023,561232,564294,567212
11,Guanajuato,11009,Comonfort,M11.01,Celaya,83524,84358,85112,85836,86525,87191,87826,88439,89022,89580,90117,90628,91121,91587,92034,92459
11,Guanajuato,11011,Cortazar,M11.01,Celaya,97304,98152,98945,99730,100521,101319,102119,102932,103758,104594,105451,106321,107214,108130,109076,110048
11,Guanajuato,11044,Villagrán,M11.01,Celaya,59874,60570,61201,61800,62371,62918,63434,63924,64384,64818,65220,65593,65936,66256,66547,66809
