CVEGEO,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03
25015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,1.0,1.0,,2.0,1.0,,1.0,1.0,,,,2.0,,3.0,1.0,2.0,1.0,3.0,1.0,4.0,3.0,1.0,1.0,3.0,4.0,4.0,2.0,,,1.0,,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,,,1.0,1.0,,,,,,,,,,,,,
25016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
25018,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,2.0,,,,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,2.0,1.0,1.0,,1.0,1.0,,,,1.0,,,2.0,,1.0,1.0,1.0,,,,1.0,,3.0,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,
26002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,2.0,1.0,1.0,1.0,,,1.0,2.0,,1.0,1.0,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,
26006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
26011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
26012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,1.0,,2.0,1.0,,1.0,,,,,,1.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
26018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,1.0,,1.0,2.0,,1.0,,2.0,3.0,4.0,2.0,5.0,3.0,5.0,2.0,,5.0,1.0,,4.0,3.0,4.0,5.0,8.0,5.0,6.0,8.0,9.0,6.0,4.0,5.0,9.0,6.0,7.0,5.0,8.0,6.0,8.0,4.0,6.0,6.0,4.0,4.0,3.0,5.0,4.0,7.0,10.0,8.0,9.0,3.0,6.0,4.0,4.0,4.0,7.0,2.0,1.0,6.0,3.0,,3.0,3.0,,,
26019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,
26020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,2.0,,,1.0,,,1.0,2.0,,1.0,,,,,,,
26026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,2.0,1.0,1.0,,,,1.0,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,
26027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
26029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,1.0,2.0,,1.0,,,,,,1.0,1.0,,2.0,1.0,2.0,2.0,4.0,2.0,,,3.0,3.0,1.0,2.0,2.0,2.0,,2.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,
26030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,,,2.0,1.0,,,,,1.0,1.0,1.0,,2.0,5.0,1.0,2.0,1.0,2.0,5.0,4.0,3.0,1.0,4.0,4.0,5.0,3.0,5.0,6.0,1.0,11.0,6.0,8.0,4.0,5.0,9.0,3.0,3.0,3.0,4.0,6.0,1.0,3.0,5.0,4.0,2.0,4.0,2.0,7.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,,,,,,,,,,,
26033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
26035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
26036,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
26038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
26042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,2.0,,1.0,,,2.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,,2.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,,2.0,2.0,3.0,,1.0,1.0,,2.0,2.0,1.0,,2.0,,2.0,1.0,,,,3.0,,,,,,1.0,1.0,,,,,,,,,
26043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,,1.0,4.0,2.0,3.0,3.0,1.0,2.0,3.0,5.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,6.0,2.0,7.0,4.0,3.0,6.0,3.0,3.0,6.0,3.0,2.0,6.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,,,2.0,,,,,,,,,
26045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26055,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,2.0,2.0,1.0,,1.0,3.0,,1.0,2.0,2.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,5.0,4.0,4.0,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,,2.0,9.0,1.0,,3.0,1.0,,1.0,4.0,1.0,1.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,
26056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26060,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
26072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,
27001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
27002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,2.0,,1.0,1.0,1.0,,1.0,,2.0,,,,2.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,3.0,1.0,,,,2.0,1.0,2.0,2.0,5.0,2.0,,1.0,2.0,,2.0,2.0,2.0,4.0,1.0,3.0,,,1.0,3.0,,1.0,2.0,,2.0,3.0,2.0,,,1.0,,,,1.0,1.0,1.0,2.0,1.0,,,,,1.0,,1.0,1.0,4.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,
27003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,
27004,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,1.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,3.0,1.0,2.0,5.0,4.0,3.0,3.0,4.0,5.0,10.0,6.0,8.0,2.0,7.0,4.0,5.0,8.0,8.0,10.0,6.0,3.0,5.0,9.0,7.0,4.0,11.0,11.0,6.0,15.0,7.0,12.0,8.0,5.0,6.0,6.0,7.0,10.0,9.0,8.0,6.0,10.0,15.0,8.0,3.0,7.0,9.0,22.0,2.0,9.0,6.0,4.0,7.0,6.0,8.0,7.0,5.0,2.0,5.0,9.0,4.0,2.0,4.0,9.0,2.0,4.0,9.0,6.0,7.0,5.0,6.0,5.0,,6.0,3.0,4.0,3.0,5.0,7.0,2.0,3.0,3.0,2.0,3.0,1.0,,,,,,,
27005,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,,3.0,2.0,1.0,,3.0,1.0,,,1.0,,1.0,,2.0,2.0,4.0,2.0,1.0,,3.0,1.0,3.0,3.0,1.0,,,2.0,1.0,2.0,2.0,1.0,4.0,,,,,,2.0,1.0,,2.0,,1.0,3.0,1.0,1.0,,3.0,1.0,1.0,,1.0,,,,,3.0,2.0,,1.0,,2.0,1.0,,1.0,1.0,,,1.0,,,1.0,,,,
27006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,2.0,1.0,,,,,,,1.0,2.0,,,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,,
27007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,2.0,1.0,,2.0,,1.0,,,1.0,,,,,,,,,,,,,
27008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,2.0,,3.0,,,,,1.0,1.0,,,1.0,2.0,,1.0,1.0,1.0,,,1.0,3.0,2.0,1.0,,,,,,3.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,1.0,1.0,,2.0,,3.0,,,1.0,,,,,1.0,,,,1.0,1.0,2.0,,,2.0,,1.0,2.0,2.0,,,1.0,1.0,,,,,,,,,,
27009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,2.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,
27010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,2.0,,,1.0,,1.0,1.0,,2.0,,,1.0,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,
27011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,
27012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,,1.0,,1.0,1.0,3.0,2.0,1.0,1.0,,2.0,,2.0,2.0,,1.0,2.0,1.0,,,1.0,,,2.0,,1.0,1.0,1.0,,1.0,,,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,3.0,2.0,3.0,1.0,2.0,1.0,,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,,3.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,
27013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,3.0,,2.0,,2.0,1.0,1.0,,,1.0,2.0,1.0,,1.0,,,2.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,,,1.0,4.0,1.0,,1.0,1.0,1.0,,,3.0,1.0,1.0,,2.0,,,3.0,2.0,1.0,2.0,1.0,,,2.0,,2.0,2.0,1.0,2.0,,,1.0,1.0,,,,,,,,,
27014,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,2.0,,,,,,,,,,,,1.0,,,,,,1.0,2.0,,1.0,1.0,,,,,,,1.0,,1.0,,,1.0,,1.0,,,2.0,,,,,,,1.0,3.0,,1.0,2.0,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,,,,2.0,,,1.0,,,2.0,,,,,1.0,1.0,,1.0,,,,,,
27015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,2.0,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
27016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,2.0,1.0,,,,,1.0,2.0,4.0,,,,,,2.0,,,,,3.0,,1.0,1.0,3.0,,1.0,,1.0,3.0,1.0,1.0,,3.0,,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,,1.0,,2.0,,,2.0,1.0,3.0,1.0,1.0,,,1.0,,,,,,,,
27017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
28002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,2.0,,,,1.0,4.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,
28009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,1.0,1.0,,,,1.0,,2.0,,1.0,,2.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,
28012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
28013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,2.0,,,,,1.0,,,,,,,,,,
28022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,2.0,2.0,1.0,,,2.0,1.0,,,,,2.0,1.0,1.0,,,,,,1.0,1.0,1.0,2.0,4.0,2.0,,1.0,1.0,,3.0,1.0,4.0,1.0,,1.0,,1.0,,3.0,4.0,2.0,,,3.0,1.0,,,2.0,2.0,3.0,6.0,1.0,,1.0,1.0,,2.0,2.0,1.0,2.0,4.0,2.0,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,,1.0,,,,,,,,,
28024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
28025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
28027,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,2.0,1.0,,,,1.0,4.0,,,1.0,,,1.0,1.0,,1.0,1.0,2.0,,,1.0,,,3.0,3.0,,2.0,,,,,1.0,,,1.0,2.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
28028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
28029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
28032,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,1.0,1.0,2.0,,1.0,,,,1.0,,,1.0,,,,1.0,,,2.0,,,2.0,2.0,1.0,3.0,2.0,2.0,,2.0,1.0,,1.0,2.0,3.0,2.0,3.0,4.0,5.0,4.0,2.0,13.0,10.0,6.0,6.0,9.0,3.0,3.0,2.0,7.0,4.0,6.0,2.0,5.0,,2.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,,,,
28033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,1.0,,,1.0,,,,,2.0,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
28035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
28037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
