CVEGEO,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09
22,3.0,3.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,9.0,9.0,10.0,10.0,11.0,11.0,13.0,14.0,15.0,17.0,17.0,18.0,18.0,18.0,18.0,21.0,23.0,24.0,27.0,28.0,31.0,39.0,41.0,48.0,53.0,55.0,62.0,62.0,67.0,70.0,75.0,80.0,84.0,88.0,92.0,95.0,97.0,104.0,113.0,115.0,126.0,132.0,134.0,141.0,150.0,152.0,156.0,163.0,169.0,176.0,183.0,192.0,195.0,201.0,203.0,206.0,208.0,217.0,226.0,229.0,232.0,235.0,241.0,245.0,253.0,259.0,266.0,269.0,283.0,294.0,296.0,303.0,311.0,319.0,329.0
23,19.0,22.0,25.0,27.0,28.0,31.0,31.0,31.0,34.0,47.0,56.0,61.0,72.0,77.0,80.0,86.0,91.0,109.0,116.0,118.0,118.0,120.0,121.0,144.0,160.0,169.0,177.0,184.0,185.0,193.0,211.0,222.0,229.0,234.0,242.0,246.0,253.0,263.0,272.0,281.0,284.0,289.0,292.0,294.0,304.0,323.0,337.0,341.0,347.0,352.0,355.0,363.0,393.0,401.0,411.0,418.0,418.0,422.0,441.0,447.0,455.0,458.0,464.0,467.0,474.0,487.0,498.0,500.0,507.0,510.0,515.0,518.0,524.0,535.0,544.0,552.0,557.0,563.0,567.0,577.0,597.0,607.0,610.0,617.0,626.0,630.0,645.0,660.0,671.0
24,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,9.0,9.0,9.0,10.0,10.0,11.0,12.0,13.0,14.0,14.0,14.0,16.0,19.0,20.0,20.0,21.0,23.0,24.0,24.0,25.0,26.0,26.0,26.0,36.0,40.0,41.0,46.0,49.0,49.0,50.0,51.0,54.0,57.0,57.0,60.0,62.0,65.0,65.0,68.0,79.0,83.0,85.0,87.0,89.0,90.0,91.0,92.0,98.0,101.0,102.0,101.0,101.0,107.0,114.0,117.0,122.0,131.0,141.0,143.0,147.0,153.0,156.0,159.0,161.0,169.0,176.0,183.0,205.0,232.0,237.0
25,24.0,28.0,34.0,38.0,40.0,43.0,45.0,45.0,45.0,52.0,59.0,62.0,92.0,98.0,105.0,122.0,130.0,133.0,139.0,159.0,163.0,170.0,173.0,173.0,180.0,197.0,204.0,207.0,212.0,215.0,229.0,246.0,251.0,259.0,280.0,283.0,297.0,318.0,324.0,351.0,363.0,377.0,387.0,402.0,423.0,427.0,444.0,456.0,484.0,497.0,517.0,543.0,618.0,640.0,667.0,678.0,702.0,726.0,768.0,794.0,829.0,846.0,861.0,872.0,901.0,927.0,947.0,961.0,983.0,998.0,1012.0,1024.0,1091.0,1119.0,1140.0,1161.0,1210.0,1228.0,1250.0,1292.0,1324.0,1349.0,1377.0,1398.0,1407.0,1428.0,1471.0,1502.0,1539.0
26,5.0,9.0,9.0,9.0,11.0,11.0,11.0,13.0,13.0,14.0,14.0,17.0,17.0,20.0,20.0,20.0,21.0,22.0,22.0,24.0,24.0,24.0,24.0,24.0,29.0,30.0,30.0,31.0,32.0,33.0,37.0,38.0,39.0,42.0,43.0,45.0,46.0,53.0,58.0,64.0,67.0,74.0,80.0,84.0,96.0,100.0,103.0,114.0,121.0,123.0,129.0,145.0,155.0,169.0,190.0,201.0,203.0,206.0,230.0,243.0,258.0,272.0,284.0,303.0,321.0,351.0,360.0,379.0,405.0,419.0,427.0,443.0,542.0,612.0,630.0,659.0,711.0,728.0,753.0,773.0,805.0,841.0,878.0,899.0,925.0,952.0,1007.0,1034.0,1073.0
27,13.0,15.0,20.0,22.0,26.0,28.0,29.0,39.0,43.0,56.0,61.0,68.0,80.0,87.0,96.0,100.0,107.0,117.0,125.0,132.0,138.0,146.0,157.0,178.0,181.0,190.0,203.0,213.0,222.0,234.0,244.0,256.0,266.0,278.0,293.0,306.0,313.0,332.0,350.0,365.0,375.0,391.0,395.0,418.0,427.0,438.0,471.0,487.0,510.0,522.0,534.0,563.0,593.0,609.0,625.0,640.0,650.0,664.0,683.0,692.0,710.0,715.0,726.0,735.0,746.0,757.0,773.0,813.0,836.0,854.0,891.0,902.0,917.0,949.0,961.0,981.0,987.0,1005.0,1020.0,1035.0,1066.0,1084.0,1104.0,1136.0,1151.0,1173.0,1207.0,1250.0,1284.0
28,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,7.0,8.0,9.0,10.0,11.0,11.0,12.0,15.0,18.0,18.0,20.0,21.0,22.0,23.0,25.0,26.0,27.0,30.0,36.0,37.0,44.0,46.0,48.0,50.0,53.0,58.0,58.0,58.0,65.0,68.0,70.0,73.0,76.0,77.0,80.0,83.0,87.0,88.0,94.0,99.0,100.0,101.0,107.0,117.0,120.0,130.0,138.0,145.0,147.0,154.0,162.0,168.0,175.0,186.0,187.0,193.0,204.0,218.0,229.0,247.0,255.0,259.0,262.0,272.0,288.0,300.0,309.0,319.0,329.0,342.0,346.0,356.0,382.0,425.0,447.0,448.0,455.0,465.0,508.0,531.0
29,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,9.0,9.0,12.0,12.0,12.0,14.0,16.0,18.0,22.0,22.0,22.0,22.0,25.0,29.0,35.0,42.0,49.0,52.0,53.0,56.0,66.0,72.0,79.0,83.0,86.0,88.0,96.0,102.0,106.0,113.0,115.0,117.0,118.0,129.0,129.0,130.0,132.0,141.0,142.0,142.0,142.0,143.0,149.0,165.0,182.0,185.0,186.0,193.0,200.0,207.0,218.0,225.0,226.0,232.0,237.0,245.0,248.0,252.0,260.0,263.0,264.0,278.0,280.0,286.0,291.0,303.0,315.0,318.0,327.0,348.0,367.0,382.0,389.0,402.0,405.0,407.0,420.0,431.0,434.0
30,3.0,3.0,5.0,6.0,6.0,7.0,8.0,9.0,13.0,14.0,19.0,22.0,24.0,25.0,27.0,33.0,40.0,44.0,53.0,57.0,60.0,65.0,69.0,79.0,83.0,98.0,111.0,120.0,123.0,135.0,155.0,167.0,197.0,224.0,235.0,239.0,245.0,267.0,281.0,299.0,341.0,351.0,375.0,383.0,428.0,444.0,476.0,512.0,524.0,535.0,555.0,600.0,666.0,701.0,741.0,768.0,770.0,794.0,837.0,892.0,934.0,962.0,999.0,1038.0,1066.0,1117.0,1151.0,1188.0,1224.0,1246.0,1274.0,1294.0,1362.0,1403.0,1426.0,1460.0,1488.0,1508.0,1553.0,1578.0,1625.0,1666.0,1689.0,1753.0,1758.0,1779.0,1836.0,1879.0,1924.0
31,6.0,6.0,7.0,7.0,7.0,8.0,10.0,10.0,10.0,12.0,15.0,18.0,19.0,20.0,20.0,23.0,23.0,26.0,26.0,30.0,30.0,31.0,31.0,33.0,36.0,39.0,47.0,47.0,47.0,50.0,53.0,53.0,61.0,67.0,75.0,76.0,79.0,82.0,95.0,98.0,107.0,108.0,114.0,121.0,126.0,130.0,137.0,140.0,144.0,153.0,162.0,171.0,190.0,200.0,205.0,206.0,206.0,209.0,217.0,223.0,230.0,238.0,243.0,245.0,253.0,272.0,298.0,302.0,316.0,321.0,324.0,328.0,336.0,351.0,364.0,373.0,386.0,388.0,392.0,408.0,437.0,459.0,470.0,473.0,476.0,494.0,514.0,530.0,548.0
