CVEGEO,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16
27,,,,,,,,,,,,,,,1.0,,,,,,,3.0,2.0,,,2.0,2.0,1.0,3.0,2.0,5.0,8.0,4.0,5.0,3.0,7.0,6.0,11.0,6.0,7.0,15.0,11.0,10.0,9.0,9.0,14.0,10.0,16.0,10.0,16.0,15.0,13.0,11.0,8.0,2.0,2.0,3.0,3.0,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,3.0,,,,3.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,8.0,4.0,6.0,4.0,4.0,8.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,7.0,2.0,3.0,1.0
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,1.0,2.0,1.0,,1.0,8.0,2.0,4.0,3.0,4.0,5.0,4.0,8.0,1.0,1.0,4.0,3.0,,4.0,1.0,,,2.0,,
30,,,,,,,,,,,,,,,,1.0,,,,,,,,,4.0,,3.0,2.0,2.0,2.0,4.0,2.0,7.0,1.0,1.0,5.0,,3.0,3.0,5.0,1.0,4.0,4.0,4.0,3.0,9.0,5.0,3.0,7.0,9.0,9.0,8.0,4.0,3.0,5.0,3.0,3.0,1.0,,
31,,,1.0,,,,,,,,,,,,,,,,,1.0,3.0,1.0,3.0,3.0,2.0,5.0,3.0,1.0,2.0,7.0,5.0,7.0,3.0,4.0,4.0,3.0,2.0,,2.0,4.0,3.0,6.0,4.0,5.0,5.0,3.0,8.0,5.0,2.0,8.0,7.0,9.0,1.0,,6.0,7.0,,,,
32,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,1.0,2.0,,2.0,1.0,,,,,,,,,2.0,,2.0,2.0,,,,,4.0,,2.0,,1.0,1.0,,,
01001,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,2.0,2.0,4.0,2.0,3.0,,5.0,7.0,5.0,4.0,3.0,3.0,1.0,1.0,3.0,1.0,,2.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,,2.0,,
01002,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
01006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
