CVEGEO,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,2.0,1.0,,,,2.0,1.0,1.0,,,1.0,1.0,2.0,,,1.0,,1.0,,1.0,,1.0,,4.0,4.0,1.0,3.0,6.0,,1.0,,2.0,2.0,5.0,3.0,6.0,4.0,7.0,4.0,10.0,3.0,5.0,1.0,2.0,10.0,6.0,6.0,7.0,8.0,9.0,11.0,8.0,8.0,4.0,7.0,9.0,9.0,8.0,11.0,9.0,7.0,14.0,12.0,12.0,11.0,11.0,11.0,11.0,4.0,3.0,4.0,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,3.0,3.0,10.0,4.0,2.0,1.0,7.0,4.0,5.0,2.0,3.0,3.0,5.0,5.0,1.0,,1.0,1.0,7.0,7.0,6.0,3.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,7.0,12.0,20.0,16.0,14.0,6.0,15.0,13.0,15.0,13.0,13.0,10.0,21.0,14.0,21.0,17.0,9.0,8.0,21.0,32.0,37.0,27.0,31.0,30.0,28.0,39.0,38.0,38.0,29.0,50.0,48.0,29.0,30.0,62.0,47.0,58.0,63.0,45.0,53.0,17.0,55.0,61.0,45.0,10.0,2.0,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,3.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,,1.0,1.0,4.0,5.0,4.0,5.0,8.0,10.0,6.0,8.0,4.0,12.0,6.0,12.0,9.0,8.0,15.0,3.0,14.0,7.0,9.0,13.0,17.0,22.0,17.0,18.0,22.0,33.0,30.0,20.0,22.0,28.0,35.0,33.0,51.0,32.0,43.0,48.0,35.0,35.0,36.0,48.0,57.0,60.0,61.0,67.0,72.0,78.0,111.0,90.0,67.0,76.0,48.0,25.0,9.0,,1.0,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,3.0,1.0,,1.0,,2.0,2.0,3.0,1.0,,6.0,3.0,2.0,3.0,4.0,2.0,5.0,7.0,5.0,,1.0,4.0,1.0,4.0,8.0,2.0,4.0,5.0,8.0,9.0,7.0,11.0,5.0,7.0,15.0,10.0,19.0,18.0,32.0,20.0,16.0,22.0,26.0,21.0,28.0,32.0,28.0,21.0,30.0,37.0,26.0,34.0,42.0,31.0,34.0,29.0,53.0,45.0,60.0,62.0,42.0,63.0,68.0,63.0,39.0,52.0,81.0,66.0,53.0,38.0,37.0,27.0,16.0,27.0,3.0,3.0,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,2.0,1.0,3.0,3.0,4.0,6.0,8.0,8.0,8.0,2.0,6.0,12.0,8.0,,8.0,10.0,6.0,6.0,4.0,4.0,1.0,8.0,2.0,4.0,8.0,5.0,3.0,8.0,8.0,4.0,3.0,6.0,10.0,8.0,6.0,6.0,4.0,7.0,10.0,13.0,7.0,15.0,13.0,8.0,11.0,20.0,20.0,17.0,23.0,20.0,17.0,19.0,20.0,19.0,19.0,32.0,23.0,33.0,27.0,42.0,34.0,22.0,29.0,19.0,35.0,40.0,47.0,35.0,48.0,44.0,42.0,32.0,63.0,55.0,71.0,46.0,55.0,51.0,40.0,45.0,23.0,7.0,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,2.0,3.0,1.0,1.0,,5.0,3.0,11.0,2.0,5.0,8.0,10.0,10.0,13.0,18.0,13.0,12.0,10.0,21.0,20.0,22.0,28.0,28.0,36.0,40.0,53.0,30.0,36.0,62.0,51.0,79.0,59.0,68.0,72.0,61.0,109.0,76.0,110.0,100.0,164.0,124.0,149.0,190.0,166.0,214.0,199.0,243.0,248.0,233.0,328.0,247.0,239.0,240.0,280.0,298.0,285.0,303.0,313.0,259.0,355.0,461.0,292.0,290.0,327.0,354.0,358.0,399.0,425.0,384.0,487.0,435.0,314.0,312.0,314.0,471.0,342.0,328.0,389.0,306.0,247.0,130.0,140.0,74.0,48.0,39.0,18.0,10.0,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,8.0,1.0,2.0,4.0,,1.0,,4.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,10.0,3.0,3.0,3.0,6.0,5.0,14.0,8.0,7.0,14.0,7.0,11.0,19.0,9.0,14.0,17.0,21.0,16.0,13.0,38.0,16.0,21.0,24.0,26.0,24.0,34.0,24.0,21.0,19.0,28.0,46.0,29.0,56.0,46.0,55.0,39.0,47.0,63.0,41.0,78.0,64.0,63.0,63.0,78.0,95.0,62.0,39.0,63.0,50.0,63.0,34.0,41.0,17.0,25.0,24.0,8.0,5.0,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,9.0,4.0,4.0,6.0,7.0,2.0,3.0,7.0,2.0,14.0,6.0,8.0,17.0,8.0,17.0,14.0,18.0,34.0,21.0,30.0,18.0,30.0,24.0,42.0,34.0,26.0,33.0,38.0,43.0,38.0,44.0,27.0,26.0,39.0,38.0,26.0,32.0,56.0,36.0,34.0,34.0,21.0,21.0,19.0,35.0,35.0,37.0,35.0,29.0,32.0,28.0,17.0,18.0,17.0,6.0,1.0,1.0,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,,,2.0,,,2.0,1.0,,,3.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,3.0,4.0,2.0,2.0,8.0,4.0,2.0,4.0,1.0,5.0,7.0,12.0,7.0,10.0,7.0,8.0,15.0,18.0,21.0,18.0,12.0,19.0,5.0,14.0,8.0,14.0,17.0,20.0,15.0,16.0,8.0,13.0,19.0,20.0,18.0,18.0,20.0,12.0,10.0,15.0,17.0,9.0,5.0,2.0,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,9.0,2.0,5.0,2.0,6.0,8.0,7.0,3.0,8.0,6.0,5.0,5.0,3.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,4.0,6.0,5.0,10.0,8.0,2.0,7.0,10.0,13.0,11.0,13.0,24.0,13.0,9.0,11.0,9.0,6.0,8.0,7.0,7.0,9.0,12.0,8.0,16.0,12.0,14.0,22.0,25.0,33.0,14.0,14.0,22.0,38.0,19.0,18.0,30.0,77.0,22.0,29.0,45.0,32.0,38.0,50.0,43.0,59.0,38.0,45.0,23.0,28.0,49.0,43.0,31.0,21.0,22.0,23.0,19.0,30.0,7.0,3.0,2.0
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,,,1.0,,,2.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,4.0,2.0,4.0,1.0,1.0,,5.0,2.0,4.0,5.0,,2.0,6.0,7.0,2.0,4.0,2.0,12.0,10.0,4.0,7.0,7.0,8.0,10.0,8.0,9.0,14.0,11.0,7.0,15.0,11.0,16.0,14.0,30.0,21.0,25.0,20.0,22.0,41.0,23.0,37.0,44.0,37.0,71.0,69.0,76.0,56.0,47.0,62.0,53.0,31.0,86.0,45.0,41.0,23.0,28.0,15.0,5.0,2.0,3.0,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,4.0,3.0,2.0,1.0,4.0,4.0,3.0,11.0,4.0,6.0,2.0,10.0,9.0,9.0,15.0,7.0,4.0,6.0,14.0,25.0,25.0,19.0,9.0,16.0,23.0,16.0,12.0,12.0,19.0,6.0,9.0,13.0,20.0,19.0,18.0,30.0,18.0,22.0,22.0,31.0,38.0,29.0,39.0,39.0,23.0,30.0,51.0,38.0,37.0,46.0,30.0,35.0,35.0,43.0,37.0,35.0,64.0,55.0,66.0,66.0,81.0,71.0,88.0,106.0,114.0,92.0,94.0,104.0,75.0,100.0,116.0,87.0,102.0,50.0,78.0,54.0,36.0,31.0,15.0,7.0,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,1.0,3.0,3.0,2.0,,3.0,2.0,2.0,4.0,,4.0,3.0,3.0,,1.0,1.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,5.0,7.0,6.0,1.0,4.0,6.0,3.0,6.0,7.0,4.0,6.0,3.0,9.0,4.0,1.0,7.0,10.0,8.0,5.0,5.0,8.0,14.0,8.0,10.0,13.0,26.0,18.0,37.0,36.0,24.0,40.0,42.0,44.0,22.0,29.0,45.0,46.0,23.0,25.0,34.0,30.0,20.0,19.0,15.0,16.0,8.0,3.0,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,2.0,3.0,1.0,3.0,4.0,6.0,2.0,3.0,7.0,5.0,8.0,9.0,6.0,10.0,6.0,13.0,6.0,21.0,16.0,18.0,17.0,13.0,19.0,15.0,19.0,14.0,27.0,29.0,15.0,20.0,26.0,32.0,31.0,29.0,29.0,30.0,28.0,41.0,35.0,44.0,24.0,55.0,29.0,27.0,26.0,21.0,43.0,36.0,31.0,32.0,29.0,20.0,34.0,79.0,27.0,32.0,20.0,29.0,22.0,38.0,38.0,36.0,17.0,27.0,39.0,26.0,32.0,29.0,25.0,49.0,46.0,36.0,20.0,22.0,21.0,21.0,8.0,4.0,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,4.0,2.0,1.0,4.0,2.0,1.0,2.0,3.0,,5.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,6.0,3.0,4.0,3.0,,2.0,,2.0,2.0,2.0,1.0,1.0,4.0,7.0,1.0,2.0,1.0,2.0,1.0,10.0,8.0,2.0,3.0,6.0,15.0,11.0,21.0,19.0,9.0,17.0,22.0,16.0,21.0,30.0,28.0,19.0,28.0,29.0,24.0,32.0,23.0,17.0,23.0,34.0,31.0,20.0,28.0,31.0,32.0,39.0,24.0,33.0,23.0,15.0,10.0,5.0,3.0,
25,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,2.0,2.0,3.0,2.0,1.0,4.0,6.0,6.0,7.0,16.0,13.0,9.0,11.0,13.0,10.0,15.0,16.0,24.0,18.0,21.0,27.0,25.0,22.0,29.0,29.0,39.0,37.0,47.0,39.0,42.0,45.0,34.0,35.0,44.0,51.0,49.0,57.0,86.0,39.0,44.0,53.0,68.0,67.0,41.0,49.0,37.0,49.0,66.0,97.0,42.0,71.0,63.0,64.0,52.0,77.0,67.0,70.0,117.0,87.0,83.0,69.0,90.0,151.0,96.0,76.0,79.0,63.0,53.0,38.0,31.0,23.0,9.0,4.0,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,2.0,4.0,1.0,2.0,2.0,,2.0,2.0,3.0,2.0,4.0,5.0,5.0,,1.0,4.0,12.0,2.0,5.0,9.0,6.0,18.0,6.0,11.0,11.0,13.0,7.0,6.0,8.0,10.0,3.0,14.0,15.0,16.0,12.0,22.0,12.0,19.0,22.0,23.0,23.0,21.0,24.0,23.0,27.0,43.0,50.0,41.0,41.0,60.0,46.0,55.0,75.0,61.0,53.0,83.0,73.0,64.0,70.0,62.0,98.0,79.0,70.0,71.0,56.0,39.0,29.0,20.0,14.0,5.0,1.0,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,2.0,2.0,1.0,3.0,2.0,6.0,8.0,5.0,5.0,4.0,7.0,7.0,11.0,6.0,7.0,16.0,13.0,12.0,10.0,12.0,18.0,13.0,23.0,18.0,31.0,32.0,32.0,40.0,49.0,26.0,41.0,48.0,67.0,47.0,54.0,55.0,62.0,72.0,74.0,57.0,49.0,56.0,70.0,54.0,43.0,52.0,59.0,53.0,82.0,87.0,82.0,79.0,114.0,105.0,83.0,111.0,123.0,102.0,137.0,131.0,93.0,94.0,117.0,145.0,103.0,90.0,101.0,89.0,130.0,64.0,57.0,51.0,35.0,20.0,6.0,2.0,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,3.0,,,,3.0,2.0,2.0,1.0,1.0,6.0,4.0,3.0,2.0,1.0,11.0,6.0,9.0,5.0,4.0,9.0,5.0,4.0,10.0,7.0,8.0,12.0,16.0,13.0,30.0,23.0,18.0,25.0,30.0,23.0,11.0,33.0,27.0,23.0,30.0,26.0,45.0,34.0,43.0,33.0,28.0,24.0,43.0,24.0,22.0,36.0,40.0,28.0,33.0,20.0,27.0,32.0,42.0,38.0,34.0,48.0,60.0,38.0,30.0,51.0,41.0,40.0,29.0,20.0,16.0,15.0,27.0,13.0,1.0,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,2.0,2.0,,1.0,9.0,2.0,4.0,3.0,5.0,5.0,4.0,8.0,1.0,2.0,6.0,9.0,2.0,12.0,1.0,2.0,7.0,12.0,9.0,10.0,7.0,9.0,9.0,21.0,20.0,8.0,10.0,17.0,11.0,18.0,20.0,7.0,15.0,22.0,18.0,16.0,21.0,24.0,17.0,40.0,35.0,32.0,24.0,40.0,37.0,27.0,24.0,37.0,33.0,29.0,35.0,36.0,41.0,23.0,24.0,22.0,14.0,6.0,2.0,2.0,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,4.0,,3.0,2.0,2.0,2.0,4.0,2.0,7.0,2.0,1.0,5.0,,3.0,4.0,5.0,3.0,4.0,6.0,5.0,7.0,12.0,6.0,5.0,9.0,12.0,13.0,22.0,17.0,19.0,21.0,26.0,31.0,21.0,35.0,32.0,30.0,42.0,26.0,73.0,43.0,43.0,47.0,71.0,67.0,49.0,93.0,79.0,74.0,101.0,117.0,101.0,93.0,91.0,118.0,108.0,95.0,123.0,135.0,123.0,136.0,123.0,130.0,104.0,145.0,109.0,97.0,114.0,91.0,80.0,54.0,46.0,26.0,9.0,2.0,1.0,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,3.0,3.0,1.0,5.0,3.0,1.0,2.0,7.0,5.0,9.0,3.0,4.0,5.0,3.0,3.0,1.0,3.0,4.0,6.0,7.0,5.0,5.0,8.0,7.0,11.0,7.0,5.0,11.0,12.0,12.0,3.0,9.0,18.0,20.0,16.0,8.0,13.0,17.0,18.0,22.0,27.0,28.0,32.0,14.0,32.0,38.0,34.0,39.0,52.0,32.0,20.0,44.0,40.0,37.0,23.0,40.0,33.0,32.0,39.0,47.0,39.0,57.0,50.0,42.0,40.0,39.0,59.0,51.0,45.0,56.0,31.0,59.0,39.0,35.0,24.0,23.0,7.0,5.0,2.0,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,3.0,,1.0,1.0,,,,,,,,,2.0,,2.0,2.0,,,1.0,1.0,6.0,1.0,5.0,4.0,2.0,2.0,3.0,1.0,7.0,2.0,5.0,6.0,5.0,2.0,4.0,3.0,3.0,2.0,5.0,17.0,7.0,7.0,4.0,5.0,6.0,1.0,8.0,10.0,8.0,6.0,6.0,3.0,11.0,3.0,10.0,4.0,11.0,4.0,3.0,5.0,10.0,8.0,8.0,2.0,13.0,4.0,2.0,5.0,1.0,1.0,
